12.03.2026 11:39:48
    74  39.02  31.78 112.88 241.1719 236.15 461.53 601.76 1176.06
    75  39.33  31.86 112.82 240.5391 235.54 460.33 601.76 1176.06
    76  39.63  31.95 112.72 239.8711 234.89 459.06 601.76 1176.06
    77  39.94  32.04 113.04 238.8867 233.93 457.19 601.76 1176.06
    78  40.15  32.13 113.25 237.7617 232.83 455.04 601.76 1176.06
    79  40.46  32.21 112.93 237.1641 232.25 453.91 601.76 1176.06
    80  40.66  32.30 112.77 235.8633 230.99 451.43 601.76 1176.06
    81  40.97  32.39 112.72 235.0547 230.20 449.89 601.76 1176.06
    82  41.18  32.47 113.30 234.3516 229.51 448.56 601.76 1176.06
    83  41.49  32.55 113.09 233.2969 228.49 446.55 601.76 1176.06
    84  41.80  32.63 113.20 232.6641 227.87 445.35 601.76 1176.06
    85  42.00  32.72 113.04 231.7148 226.95 443.54 601.76 1176.06
    86  42.21  32.82 113.62 230.6953 225.96 441.60 601.76 1176.06
    87  42.52  32.93 113.41 229.0781 224.38 438.53 601.76 1176.06
    88  42.83  33.03 113.14 228.3398 223.66 437.12 601.76 1176.06
    89  43.03  33.14 113.14 227.1445 222.50 434.85 601.76 1176.06
    90  43.34  33.24 113.78 225.8438 221.23 432.37 601.76 1176.06
    91  43.55  33.35 113.83 225.4219 220.82 431.57 601.76 1176.06
    92  43.75  33.45 113.73 224.2617 219.69 429.36 601.76 1176.06
    93  44.06  33.55 113.62 223.5234 218.97 427.96 601.76 1176.06
    94  44.27  33.65 113.94 222.2930 217.78 425.62 601.76 1176.06
    95  44.47  33.75 113.67 221.4844 216.99 424.08 601.76 1176.06
    96  44.78  33.84 113.89 220.6406 216.17 422.48 601.76 1176.06
    97  44.99  33.95 113.83 219.9375 215.48 421.14 601.76 1176.06
    98  45.20  34.07 113.51 219.1289 214.70 419.60 601.76 1176.06
    99  45.51  34.20 114.10 217.9688 213.57 417.39 601.76 1176.06
   100  45.92  34.37 114.10 217.0898 212.71 415.72 601.76 1176.06
   101  46.12  34.55 114.15 216.1406 211.79 413.92 601.76 1176.06
   102  46.43  34.71 113.99 215.1211 210.80 411.98 601.76 1176.06
   103  46.64  34.86 114.05 214.3828 210.08 410.57 601.76 1176.06
   104  46.84  35.00 114.05 213.6797 209.39 409.24 601.76 1176.06
   105  47.15  35.14 114.31 212.4141 208.16 406.83 601.76 1176.06
   106  47.26  35.23 114.26 211.3945 207.17 404.89 601.76 1176.06
   107  47.56  35.32 114.10 210.6914 206.49 403.55 601.76 1176.06
   108  47.77  35.43 114.31 209.8125 205.63 401.88 601.76 1176.06
   109  47.98  35.58 114.15 208.7578 204.61 399.88 601.76 1176.06
   110  48.29  35.73 114.31 207.8438 203.72 398.14 601.76 1176.06
   111  48.49  35.88 114.31 206.9648 202.86 396.47 601.76 1176.06
   112  48.70  36.00 114.21 206.0508 201.97 394.73 601.76 1176.06
   113  48.90  36.13 114.31 205.1367 201.08 392.99 601.76 1176.06
   114  49.21  36.25 114.31 203.8008 199.78 390.45 601.76 1176.06
   115  49.42  36.41 114.31 203.3086 199.30 389.51 601.76 1176.06
   116  49.63  36.58 114.31 202.6055 198.62 388.18 601.76 1176.06
   117  49.93  36.74 114.31 201.6211 197.66 386.31 601.76 1176.06
   118  50.24  36.93 114.31 201.0234 197.08 385.17 601.76 1176.06
   119  50.45  37.12 114.31 200.0039 196.09 383.23 601.76 1176.06
   120  50.65  37.31 114.31 199.0195 195.13 381.36 601.76 1176.06
   121  50.96  37.49 114.31 198.2461 194.38 379.89 601.76 1176.06
   122  51.17  37.67 114.31 197.4023 193.56 378.28 601.76 1176.06
   123  51.48  37.84 114.31 196.7695 192.94 377.08 601.76 1176.06
   124  51.79  38.03 114.31 195.7148 191.92 375.08 601.76 1176.06
   125  51.99  38.23 114.31 195.1172 191.33 373.94 601.76 1176.06
   126  52.20  38.44 114.31 194.2734 190.51 372.33 601.76 1176.06
   127  52.41  38.63 114.31 193.5703 189.83 371.00 601.76 1176.06
   128  52.72  38.83 114.31 192.3398 188.63 368.66 601.76 1176.06
   129  52.92  39.01 114.31 191.4609 187.78 366.99 601.76 1176.06
   130  53.13  39.18 114.31 191.0391 187.37 366.18 601.76 1176.06
   131  53.33  39.34 114.31 190.2305 186.58 364.65 601.76 1176.06
   132  53.54  39.50 114.31 189.7383 186.10 363.71 601.76 1176.06
   133  53.74  39.68 114.37 189.0352 185.42 362.38 601.76 1176.06
   134  54.05  39.87 114.37 188.3672 184.77 361.11 601.76 1176.06
   135  54.26  40.06 114.47 187.6641 184.08 359.77 601.76 1176.06
   136  54.47  40.25 114.42 186.9258 183.37 358.36 601.76 1176.06
   137  54.67  40.45 114.47 186.2227 182.68 357.03 601.76 1176.06
   138  54.88  40.64 114.58 185.5547 182.03 355.76 601.76 1176.06
   139  55.08  40.83 114.52 184.7109 181.21 354.15 601.76 1176.06
   140  55.39  41.03 114.52 183.4805 180.01 351.81 601.76 1176.06
   142  55.60  41.21 114.52 183.0586 179.60 351.01 601.76 1176.06
   143  55.81  41.41 114.84 182.2148 178.78 349.41 601.76 1176.06
   144  56.11  41.62 115.16 181.4063 178.00 347.87 601.76 1176.06
   145  56.22  41.83 114.52 180.4922 177.11 346.13 601.76 1176.06
   146  56.53  42.03 114.79 179.8945 176.53 345.00 601.76 1176.06
   147  56.73  42.22 115.22 179.3320 175.98 343.93 601.76 1176.06
   148  56.94  42.42 115.00 178.6289 175.29 342.59 601.76 1176.06
   149  57.14  42.62 115.00 177.7852 174.47 340.99 601.76 1176.06
   150  57.35  42.81 115.27 177.2930 174.00 340.05 601.76 1176.06
   151  57.56  42.99 115.27 176.5195 173.24 338.58 601.76 1176.06
   152  57.86  43.17 115.38 176.0273 172.76 337.65 601.76 1176.06
   153  58.07  43.41 115.75 175.1484 171.91 335.98 601.76 1176.06
   154  58.28  43.62 115.38 174.3750 171.16 334.51 601.76 1176.06
   155  58.48  43.85 115.80 173.8125 170.61 333.44 601.76 1176.06
   156  58.79  44.08 115.59 173.0742 169.89 332.03 601.76 1176.06
   157  59.00  44.31 115.64 172.4063 169.24 330.76 601.76 1176.06
   158  59.20  44.51 115.64 171.8086 168.66 329.63 601.76 1176.06
   159  59.41  44.72 115.96 171.2109 168.08 328.49 601.76 1176.06
   160  59.62  44.93 115.85 170.5430 167.43 327.22 601.76 1176.06
   161  59.82  45.15 115.85 169.3828 166.30 325.02 601.76 1176.06
   162  60.03  45.37 116.12 168.7852 165.72 323.88 601.76 1176.06
   163  60.34  45.59 116.01 168.1172 165.07 322.61 601.76 1176.06
   164  60.54  45.80 116.07 167.3789 164.35 321.21 601.76 1176.06
   165  60.75  46.01 116.12 166.6406 163.63 319.80 601.76 1176.06
   166  60.85  46.23 116.12 165.8320 162.85 318.27 601.76 1176.06
   167  61.16  46.45 115.96 165.1289 162.16 316.93 601.76 1176.06
   168  61.37  46.65 115.96 164.6016 161.65 315.93 601.76 1176.06
   169  61.57  46.86 116.12 163.8633 160.93 314.53 601.76 1176.06
   170  61.78  47.07 116.12 163.3008 160.39 313.46 601.76 1176.06
   171  61.99  47.29 116.12 162.5273 159.63 311.99 601.76 1176.06
   172  62.19  47.51 116.12 161.6836 158.81 310.38 601.76 1176.06
   173  62.29  47.71 116.12 160.9453 158.10 308.98 601.76 1176.06
   174  62.50  47.89 116.12 160.2422 157.41 307.64 601.76 1176.06
   175  62.71  48.06 116.12 159.7148 156.90 306.64 601.76 1176.06
   176  62.91  48.27 116.12 159.0820 156.28 305.44 601.76 1176.06
   177  63.12  48.49 116.12 158.3086 155.53 303.97 601.76 1176.06
   178  63.32  48.71 116.12 157.7461 154.99 302.90 601.76 1176.06
   179  63.53  48.91 116.12 156.7969 154.06 301.10 601.76 1176.06
   180  63.74  49.11 116.12 156.2344 153.52 300.03 601.76 1176.06
   181  63.94  49.29 116.12 155.7422 153.04 299.09 601.76 1176.06
   182  64.15  49.51 116.23 155.1445 152.46 297.96 601.76 1176.06
   183  64.35  49.72 116.17 154.6172 151.94 296.95 601.76 1176.06
   184  64.56  49.95 116.17 154.0547 151.40 295.88 601.76 1176.06
   185  64.87  50.16 116.17 153.4570 150.81 294.75 601.76 1176.06
   186  65.07  50.40 116.23 152.8945 150.27 293.68 601.76 1176.06
   187  65.28  50.64 116.55 152.2969 149.69 292.54 601.76 1176.06
   188  65.49  50.89 116.33 151.7344 149.14 291.48 601.76 1176.06
   189  65.69  51.11 116.60 150.8203 148.25 289.74 601.76 1176.06
   190  65.90  51.33 116.49 150.1875 147.64 288.54 601.76 1176.06
   191  66.10  51.55 116.28 149.7305 147.19 287.67 601.76 1176.06
   192  66.52  51.83 116.81 148.8164 146.30 285.93 601.76 1176.06
   193  66.72  52.11 116.97 148.2188 145.72 284.79 601.76 1176.06
   194  66.93  52.39 117.45 147.8320 145.35 284.06 601.76 1176.06
   195  67.13  52.61 117.24 147.3047 144.83 283.06 601.76 1176.06
   196  67.34  52.83 117.29 146.7070 144.25 281.92 601.76 1176.06
   197  67.55  53.05 117.45 146.2852 143.84 281.12 601.76 1176.06
   198  67.65  53.23 117.50 145.7227 143.29 280.05 601.76 1176.06
   199  67.86  53.41 117.71 145.1602 142.75 278.98 601.76 1176.06
   200  68.06  53.60 117.82 144.7383 142.34 278.18 601.76 1176.06
   201  68.27  53.82 117.71 144.3164 141.93 277.38 601.76 1176.06
   202  68.47  54.03 117.93 143.7188 141.35 276.24 601.76 1176.06
   203  68.68  54.25 117.93 143.1914 140.83 275.24 601.76 1176.06
   204  68.89  54.48 117.93 142.6992 140.35 274.31 601.76 1176.06
   205  69.19  54.71 117.93 142.0313 139.71 273.04 601.76 1176.06
   206  69.40  54.96 117.93 141.2227 138.92 271.50 601.76 1176.06
   207  69.50  55.17 117.93 140.5195 138.24 270.16 601.76 1176.06
   208  69.71  55.40 117.93 139.4297 137.18 268.09 601.76 1176.06
   209  69.92  55.61 117.93 138.7266 136.49 266.76 601.76 1176.06
   210  70.02  55.81 117.93 138.1641 135.95 265.69 601.76 1176.06
   211  70.22  55.99 118.09 137.5664 135.36 264.55 601.76 1176.06
   212  70.43  56.17 118.09 137.1094 134.92 263.68 601.76 1176.06
   213  70.64  56.39 118.03 136.6172 134.44 262.75 601.76 1176.06
   214  70.84  56.61 117.93 136.0898 133.93 261.75 601.76 1176.06
   215  71.05  56.84 118.19 135.4219 133.28 260.48 601.76 1176.06
   216  71.36  57.07 118.25 134.7188 132.60 259.14 601.76 1176.06
   217  71.56  57.32 118.25 134.2969 132.19 258.34 601.76 1176.06
   218  71.67  57.56 118.46 133.8398 131.74 257.47 601.76 1176.06
   219  71.87  57.78 118.46 133.5234 131.43 256.87 601.76 1176.06
   220  72.08  58.00 119.15 133.3125 131.23 256.47 601.76 1176.06
   221  72.28  58.22 118.35 132.6797 130.61 255.27 601.76 1176.06
   222  72.39  58.41 118.62 132.0117 129.96 254.00 601.76 1176.06
   223  72.59  58.59 118.99 131.4492 129.42 252.93 601.76 1176.06
   224  72.80  58.77 118.94 131.2383 129.21 252.53 601.76 1176.06
   225  73.01  58.98 119.04 130.8164 128.80 251.73 601.76 1176.06
   226  73.21  59.20 119.31 130.3594 128.36 250.86 601.76 1176.06
   227  73.42  59.43 119.31 129.9375 127.95 250.06 601.76 1176.06
   228  73.73  59.66 119.52 129.5508 127.57 249.32 601.76 1176.06
   229  73.93  59.90 119.42 129.0938 127.13 248.46 601.76 1176.06
   230  74.04  60.13 119.58 128.6016 126.65 247.52 601.76 1176.06
   231  74.24  60.35 119.63 128.3555 126.41 247.05 601.76 1176.06
   232  74.45  60.57 119.58 127.9688 126.03 246.32 601.76 1176.06
   233  74.65  60.79 119.52 127.0195 125.11 244.51 601.76 1176.06
   234  74.96  61.02 119.52 126.6680 124.77 243.85 601.76 1176.06
   235  75.17  61.27 119.74 126.5625 124.67 243.65 601.76 1176.06
   236  75.27  61.53 119.74 126.2109 124.32 242.98 601.76 1176.06
   237  75.48  61.76 119.74 125.7891 123.91 242.18 601.76 1176.06
   238  75.68  61.99 119.74 125.4375 123.57 241.51 601.76 1176.06
   239  75.89  62.19 119.74 125.0156 123.16 240.71 601.76 1176.06
   240  76.10  62.42 119.74 124.4531 122.62 239.64 601.76 1176.06
   241  76.30  62.64 119.63 124.0664 122.24 238.90 601.76 1176.06
   242  76.51  62.87 119.74 123.5742 121.76 237.97 601.76 1176.06
   243  76.61  63.09 119.74 123.3281 121.52 237.50 601.76 1176.06
   244  76.82  63.30 119.74 123.0820 121.28 237.03 601.76 1176.06
   245  77.02  63.53 119.74 122.6953 120.91 236.30 601.76 1176.06
   246  77.23  63.73 119.74 122.4141 120.63 235.76 601.76 1176.06
   247  77.33  63.93 119.74 121.7813 120.02 234.56 601.76 1176.06
   248  77.54  64.12 119.74 120.8320 119.10 232.76 601.76 1176.06
   249  77.74  64.33 119.74 120.4805 118.75 232.09 601.76 1176.06
   250  77.95  64.56 119.74 120.1992 118.48 231.56 601.76 1176.06
   251  78.05  64.78 119.74 119.9180 118.21 231.02 601.76 1176.06
   252  78.36  65.02 119.84 119.6719 117.97 230.56 601.76 1176.06
   253  78.57  65.28 119.74 119.5313 117.83 230.29 601.76 1176.06
   254  78.77  65.54 120.00 119.1797 117.49 229.62 601.76 1176.06
   255  78.88  65.79 119.89 118.9336 117.25 229.15 601.76 1176.06
   256  79.08  66.00 120.21 118.7578 117.08 228.82 601.76 1176.06
   257  79.29  66.22 119.89 118.3359 116.67 228.02 601.76 1176.06
   258  79.39  66.44 119.95 117.9492 116.29 227.28 601.76 1176.06
   259  79.60  66.64 120.27 117.5273 115.88 226.48 601.76 1176.06
   260  79.80  66.83 120.80 117.3516 115.71 226.15 601.76 1176.06
   261  79.91  67.07 120.64 117.1055 115.47 225.68 601.76 1176.06
   262  80.11  67.29 120.96 116.7539 115.13 225.01 601.76 1176.06
   263  80.22  67.51 120.85 116.4023 114.79 224.34 601.76 1176.06
   264  80.32  67.71 121.12 116.1563 114.55 223.88 601.76 1176.06
   265  80.42  67.90 120.90 115.7695 114.18 223.14 601.76 1176.06
   266  80.63  68.07 121.17 115.4531 113.87 222.54 601.76 1176.06
   267  80.83  68.27 121.12 114.9609 113.39 221.61 601.76 1176.06
   268  80.94  68.49 120.80 114.7852 113.22 221.27 601.76 1176.06
   269  81.04  68.71 121.38 114.6797 113.12 221.07 601.76 1176.06
   270  81.35  68.94 121.28 114.4336 112.88 220.60 601.76 1176.06
   271  81.55  69.19 121.54 114.2930 112.74 220.34 601.76 1176.06
   272  81.66  69.44 121.49 114.0820 112.54 219.94 601.76 1176.06
   273  81.86  69.68 121.33 113.9063 112.36 219.60 601.76 1176.06
   274  81.97  69.89 121.44 113.5195 111.99 218.87 601.76 1176.06
   275  82.07  70.11 121.44 112.9570 111.44 217.80 601.76 1176.06
   276  82.17  70.31 121.54 112.7813 111.27 217.47 601.76 1176.06
   277  82.38  70.51 121.54 112.5352 111.03 217.00 601.76 1176.06
   278  82.48  70.70 121.54 112.3945 110.89 216.73 601.76 1176.06
   279  82.58  70.91 121.54 112.0078 110.52 216.00 601.76 1176.06
   280  82.79  71.09 121.54 111.7617 110.28 215.53 601.76 1176.06
   281  82.89  71.29 121.54 111.4453 109.97 214.93 601.76 1176.06
   282  83.10  71.50 121.54 111.1641 109.70 214.39 601.76 1176.06
   283  83.20  71.73 121.54 110.9531 109.49 213.99 601.76 1176.06
   284  83.41  71.95 121.54 110.8828 109.43 213.86 601.76 1176.06
   285  83.51  72.15 121.54 110.7422 109.29 213.59 601.76 1176.06
   286  83.61  72.35 121.54 110.5664 109.12 213.26 601.76 1176.06
   287  83.72  72.54 121.54 110.4609 109.02 213.06 601.76 1176.06
   288  83.82  72.73 121.54 110.2500 108.81 212.66 601.76 1176.06
   289  83.92  72.91 121.54 110.0391 108.61 212.26 601.76 1176.06
   290  84.03  73.08 121.54 109.6875 108.26 211.59 601.76 1176.06
   291  84.13  73.25 121.54 109.4063 107.99 211.05 601.76 1176.06
   292  84.23  73.45 121.65 109.2305 107.82 210.72 601.76 1176.06
   293  84.34  73.63 121.65 109.0547 107.65 210.39 601.76 1176.06
   294  84.44  73.83 121.60 108.6680 107.27 209.65 601.76 1176.06
   295  84.64  74.03 121.60 108.4570 107.07 209.25 601.76 1176.06
   296  84.75  74.24 121.81 108.3164 106.93 208.98 601.76 1176.06
   297  84.85  74.45 121.65 108.1758 106.79 208.72 601.76 1176.06
   298  84.95  74.62 121.76 108.0352 106.66 208.45 601.76 1176.06
   299  85.06  74.79 121.76 107.7891 106.42 207.98 601.76 1176.06
   300  85.16  74.97 121.76 107.6133 106.25 207.65 601.76 1176.06
   301  85.06  75.11 122.13 105.6797 104.37 225.32 544.76 1176.06
   302  85.16  75.25 122.29 100.2305  99.07 240.36 484.76 1176.06
   303  85.26  75.40 122.13  94.8867  93.88 259.93 424.76 1176.06
   304  85.37  75.59 122.55  89.4023  88.55 285.50 364.76 1176.06
   305  85.47  75.78 122.29  83.4609  82.78 319.43 304.76 1176.06
   306  85.57  75.95 123.14  76.3945  75.91 364.75 244.76 1176.06
   307  85.78  76.15 122.66  68.2734  68.02 432.97 184.76 1176.06
   308  85.88  76.35 122.77  58.5703  58.59 552.33 124.76 1176.06
   309  85.98  76.55 123.08  51.7500  51.96 518.96 117.76 1176.06
   310  85.98  76.72 123.30  51.6797  51.90 518.28 117.76 1176.06
   311  86.09  76.89 123.35  51.6797  51.90 518.28 117.76 1176.06
   312  86.19  77.03 123.35  51.6797  51.90 518.28 117.76 1176.06
   313  86.29  77.18 123.35  51.6445  51.86 517.94 117.76 1176.06
   314  86.40  77.31 123.35  51.6094  51.83 517.60 117.76 1176.06
   315  86.50  77.44 123.35  51.5391  51.76 516.92 117.76 1176.06
   316  86.60  77.57 123.35  51.5039  51.73 516.57 117.76 1176.06
   317  86.70  77.70 123.35  51.4688  51.69 516.23 117.76 1176.06
   318  86.81  77.84 123.35  51.5039  51.73 516.57 117.76 1176.06
   319  87.01  78.00 123.35  51.3633  51.59 515.21 117.76 1176.06
   320  87.12  78.16 123.35  51.3984  51.62 515.55 117.76 1176.06
   321  87.12  78.31 123.35  51.3633  51.59 515.21 117.76 1176.06
   322  87.32  78.44 123.35  51.3281  51.55 514.87 117.76 1176.06
   323  87.43  78.56 123.35  51.3281  51.55 514.87 117.76 1176.06
   324  87.53  78.69 123.35  51.1523  51.38 513.16 117.76 1176.06
   325  87.63  78.83 123.35  51.0820  51.32 512.48 117.76 1176.06
   326  87.73  78.99 123.56  51.0820  51.32 512.48 117.76 1176.06
   327  87.84  79.13 123.51  50.9766  51.21 511.46 117.76 1176.06
   328  87.94  79.26 123.40  50.9414  51.18 511.12 117.76 1176.06
   329  88.04  79.39 123.40  50.9063  51.14 510.78 117.76 1176.06
   330  88.15  79.53 123.51  50.8008  51.04 509.75 117.76 1176.06
   331  88.04  79.65 123.40  50.8008  51.04 509.75 117.76 1176.06
   332  88.15  79.74 123.46  50.8008  51.04 509.75 117.76 1176.06
   333  88.25  79.83 123.46  50.6953  50.94 508.73 117.76 1176.06
   334  88.25  79.94 123.46  50.6250  50.87 508.05 117.76 1176.06
   335  88.35  80.06 123.83  50.5898  50.84 507.71 117.76 1176.06
   336  88.46  80.19 123.67  50.5547  50.80 507.37 117.76 1176.06
   337  88.66  80.33 123.46  50.4492  50.70 506.34 117.76 1176.06
   338  88.66  80.51 123.78  50.4492  50.70 506.34 117.76 1176.06
   339  88.76  80.68 123.83  50.3789  50.63 505.66 117.76 1176.06
   340  88.76  80.84 123.99  50.3086  50.56 504.98 117.76 1176.06
   341  88.87  80.96 124.10  50.2734  50.53 504.64 117.76 1176.06
   342  88.87  81.09 123.88  50.2734  50.53 504.64 117.76 1176.06
   343  88.76  81.19 124.20  50.2383  50.50 504.30 117.76 1176.06
   344  88.76  81.28 124.10  50.1680  50.43 503.61 117.76 1176.06
   345  88.87  81.36 123.78  50.0977  50.36 502.93 117.76 1176.06
   346  88.87  81.46 123.83  50.0625  50.33 502.59 117.76 1176.06
   347  88.87  81.59 123.99  50.0625  50.33 502.59 117.76 1176.06
   348  88.87  81.71 124.63  50.0273  50.29 502.25 117.76 1176.06
   349  89.07  81.85 124.10  49.9219  50.19 501.23 117.76 1176.06
   350  89.07  82.03 124.10  49.9219  50.19 501.23 117.76 1176.06
   351  89.07  82.19 124.36  49.9219  50.19 501.23 117.76 1176.06
   352  89.07  82.35 124.31  49.9219  50.19 501.23 117.76 1176.06
   353  89.18  82.45 124.47  49.8867  50.15 500.88 117.76 1176.06
   354  89.18  82.57 124.68  49.8164  50.09 500.20 117.76 1176.06
   355  89.07  82.67 124.25  49.8516  50.12 500.54 117.76 1176.06
   356  89.07  82.77 124.52  49.7461  50.02 499.52 117.76 1176.06
   357  89.07  82.85 124.31  49.7461  50.02 499.52 117.76 1176.06
   358  89.07  82.94 124.57  49.7109  49.98 499.18 117.76 1176.06
